date,units_sold,month,week_of_year,lag_1,lag_2,lag_4,rolling_mean_4,is_black_friday_week,is_world_cup_week,time_index,pct_change_1,diff_1,trend_slope_4
2017-02-05,33,2,5,17.0,11.0,1.0,8.25,0,0,4,0.5454545454545454,6.0,5.5
2017-02-12,45,2,6,33.0,17.0,4.0,16.25,0,0,5,0.9411764705882353,16.0,9.299999999999999
2017-02-19,47,2,7,45.0,33.0,11.0,26.5,0,0,6,0.36363636363636354,12.0,11.8
2017-02-26,33,2,8,47.0,45.0,17.0,35.5,0,0,7,0.04444444444444451,2.0,10.200000000000003
2017-03-05,54,3,9,33.0,47.0,33.0,39.5,0,0,8,-0.2978723404255319,-14.0,0.20000000000000218
2017-03-12,65,3,10,54.0,33.0,45.0,44.75,0,0,9,0.6363636363636365,21.0,1.3000000000000025
2017-03-19,57,3,11,65.0,54.0,47.0,49.75,0,0,10,0.20370370370370372,11.0,7.499999999999998
2017-03-26,72,3,12,57.0,65.0,33.0,52.25,0,0,11,-0.12307692307692308,-8.0,8.300000000000004
2017-04-02,74,4,13,72.0,57.0,54.0,62.0,0,0,12,0.26315789473684204,15.0,4.6
2017-04-09,74,4,14,74.0,72.0,65.0,67.0,0,0,13,0.02777777777777768,2.0,4.199999999999987
2017-04-16,33,4,15,74.0,74.0,57.0,69.25,0,0,14,0.0,0.0,5.299999999999999
2017-04-23,76,4,16,33.0,74.0,72.0,63.25,0,0,15,-0.5540540540540541,-41.0,-11.7
2017-04-30,57,4,17,76.0,33.0,74.0,64.25,0,0,16,1.3030303030303032,43.0,-3.500000000000003
2017-05-07,66,5,18,57.0,76.0,74.0,60.0,0,0,17,-0.25,-19.0,-0.8000000000000046
2017-05-14,77,5,19,66.0,57.0,33.0,58.0,0,0,18,0.1578947368421053,9.0,8.000000000000005
2017-05-21,81,5,20,77.0,66.0,76.0,69.0,0,0,19,0.16666666666666674,11.0,1.2000000000000033
2017-05-28,101,5,21,81.0,77.0,57.0,70.25,0,0,20,0.051948051948051965,4.0,8.300000000000004
2017-06-04,75,6,22,101.0,81.0,66.0,81.25,0,0,21,0.24691358024691357,20.0,10.900000000000006
2017-06-11,99,6,23,75.0,101.0,77.0,83.5,0,0,22,-0.25742574257425743,-26.0,1.3999999999999977
2017-06-18,93,6,24,99.0,75.0,81.0,89.0,0,0,23,0.32000000000000006,24.0,2.7999999999999994
2017-06-25,73,6,25,93.0,99.0,101.0,92.0,0,0,24,-0.06060606060606055,-6.0,1.452694526873044e-15
2017-07-02,90,7,26,73.0,93.0,75.0,85.0,0,0,25,-0.21505376344086025,-20.0,-1.1999999999999988
2017-07-09,127,7,27,90.0,73.0,99.0,88.75,0,0,26,0.23287671232876717,17.0,-4.700000000000001
2017-07-16,137,7,28,127.0,90.0,93.0,95.75,0,0,27,0.4111111111111112,37.0,11.899999999999997
2017-07-23,151,7,29,137.0,127.0,73.0,106.75,0,0,28,0.07874015748031504,10.0,22.899999999999995
2017-07-30,117,7,30,151.0,137.0,90.0,126.25,0,0,29,0.10218978102189791,14.0,19.299999999999997
2017-08-06,93,8,31,117.0,151.0,127.0,133.0,0,0,30,-0.22516556291390732,-34.0,-1.5999999999999985
2017-08-13,135,8,32,93.0,117.0,137.0,124.5,0,0,31,-0.20512820512820518,-24.0,-16.599999999999998
2017-08-20,140,8,33,135.0,93.0,151.0,124.0,0,0,32,0.4516129032258065,42.0,-7.199999999999994
2017-08-27,97,8,34,140.0,135.0,117.0,121.25,0,0,33,0.03703703703703698,5.0,11.099999999999994
2017-09-03,90,9,35,97.0,140.0,93.0,116.25,0,0,34,-0.30714285714285716,-43.0,1.7000000000000022
2017-09-10,95,9,36,90.0,97.0,135.0,115.5,0,0,35,-0.07216494845360821,-7.0,-17.79999999999999
2017-09-17,164,9,37,95.0,90.0,140.0,105.5,0,0,36,0.05555555555555558,5.0,-14.200000000000005
2017-09-24,154,9,38,164.0,95.0,97.0,111.5,0,0,37,0.7263157894736842,69.0,20.6
2017-10-01,97,10,39,154.0,164.0,90.0,125.75,0,0,38,-0.060975609756097615,-10.0,26.099999999999987
2017-10-08,97,10,40,97.0,154.0,95.0,127.5,0,0,39,-0.3701298701298701,-57.0,-0.39999999999999264
2017-10-15,120,10,41,97.0,97.0,164.0,128.0,0,0,40,0.0,0.0,-25.800000000000008
2017-10-22,140,10,42,120.0,97.0,154.0,117.0,0,0,41,0.23711340206185572,23.0,-10.199999999999998
2017-10-29,132,10,43,140.0,120.0,97.0,113.5,0,0,42,0.16666666666666674,20.0,15.200000000000003
2017-11-05,126,11,44,132.0,140.0,97.0,122.25,0,0,43,-0.05714285714285716,-8.0,12.500000000000005
2017-11-12,150,11,45,126.0,132.0,120.0,129.5,0,0,44,-0.045454545454545414,-6.0,1.0000000000000029
2017-11-19,136,11,46,150.0,126.0,140.0,137.0,0,0,45,0.19047619047619047,24.0,2.4000000000000026
2017-11-26,430,11,47,136.0,150.0,132.0,136.0,1,0,46,-0.09333333333333338,-14.0,3.6
2017-12-03,236,12,48,430.0,136.0,126.0,210.5,0,0,47,2.161764705882353,294.0,89.8
2017-12-10,137,12,49,236.0,430.0,150.0,238.0,0,0,48,-0.4511627906976744,-194.0,55.2
2017-12-17,122,12,50,137.0,236.0,136.0,234.75,0,0,49,-0.4194915254237288,-99.0,-19.09999999999996
2017-12-24,105,12,51,122.0,137.0,430.0,231.25,0,0,50,-0.10948905109489049,-15.0,-102.30000000000001
2017-12-31,99,12,52,105.0,122.0,236.0,150.0,0,0,51,-0.139344262295082,-17.0,-40.80000000000001
2018-01-07,158,1,1,99.0,105.0,137.0,115.75,0,0,52,-0.05714285714285716,-6.0,-13.100000000000005
2018-01-14,189,1,2,158.0,99.0,122.0,121.0,0,0,53,0.595959595959596,59.0,10.2
2018-01-21,179,1,3,189.0,158.0,105.0,137.75,0,0,54,0.19620253164556956,31.0,31.1
2018-01-28,199,1,4,179.0,189.0,99.0,156.25,0,0,55,-0.05291005291005291,-10.0,27.10000000000001
2018-02-04,205,2,5,199.0,179.0,158.0,181.25,0,0,56,0.1117318435754191,20.0,11.30000000000002
2018-02-11,200,2,6,205.0,199.0,189.0,193.0,0,0,57,0.03015075376884413,6.0,6.799999999999997
2018-02-18,181,2,7,200.0,205.0,179.0,195.75,0,0,58,-0.024390243902439046,-5.0,6.900000000000027
2018-02-25,143,2,8,181.0,200.0,199.0,196.25,0,0,59,-0.09499999999999997,-19.0,-5.899999999999999
2018-03-04,164,3,9,143.0,181.0,205.0,182.25,0,0,60,-0.2099447513812155,-38.0,-20.499999999999982
2018-03-11,155,3,10,164.0,143.0,200.0,172.0,0,0,61,0.14685314685314688,21.0,-14.600000000000007
2018-03-18,172,3,11,155.0,164.0,181.0,160.75,0,0,62,-0.054878048780487854,-9.0,-5.699999999999984
2018-03-25,210,3,12,172.0,155.0,143.0,158.5,0,0,63,0.10967741935483866,17.0,7.799999999999994
2018-04-01,162,4,13,210.0,172.0,164.0,175.25,0,0,64,0.22093023255813948,38.0,15.499999999999993
2018-04-08,170,4,14,162.0,210.0,155.0,174.75,0,0,65,-0.22857142857142854,-48.0,5.900000000000013
2018-04-15,179,4,15,170.0,162.0,172.0,178.5,0,0,66,0.04938271604938271,8.0,-5.399999999999992
2018-04-22,180,4,16,179.0,170.0,210.0,180.25,0,0,67,0.05294117647058827,9.0,-8.500000000000002
2018-04-29,161,4,17,180.0,179.0,162.0,172.75,0,0,68,0.005586592178770999,1.0,6.300000000000005
2018-05-06,184,5,18,161.0,180.0,170.0,172.5,0,0,69,-0.10555555555555551,-19.0,-2.5999999999999868
2018-05-13,163,5,19,184.0,161.0,179.0,176.0,0,0,70,0.1428571428571428,23.0,-0.40000000000000946
2018-05-20,215,5,20,163.0,184.0,180.0,172.0,0,0,71,-0.11413043478260865,-21.0,-2.7999999999999865
2018-05-27,132,5,21,215.0,163.0,161.0,180.75,0,0,72,0.3190184049079754,52.0,14.099999999999993
2018-06-03,129,6,22,132.0,215.0,184.0,173.5,0,0,73,-0.38604651162790693,-83.0,-10.399999999999993
2018-06-10,198,6,23,129.0,132.0,163.0,159.75,0,0,74,-0.022727272727272707,-3.0,-18.499999999999996
2018-06-17,182,6,24,198.0,129.0,215.0,168.5,0,0,75,0.5348837209302326,69.0,-5.400000000000001
2018-06-24,193,6,25,182.0,198.0,132.0,160.25,0,0,76,-0.08080808080808077,-16.0,21.899999999999995
2018-07-01,154,7,26,193.0,182.0,129.0,175.5,0,0,77,0.06043956043956045,11.0,17.600000000000005
2018-07-08,125,7,27,154.0,193.0,198.0,181.75,0,0,78,-0.20207253886010368,-39.0,-12.099999999999982
2018-07-15,79,7,28,125.0,154.0,182.0,163.5,0,1,79,-0.18831168831168832,-29.0,-21.000000000000004
2018-07-22,182,7,29,79.0,125.0,193.0,137.75,0,0,80,-0.368,-46.0,-37.100000000000016
2018-07-29,150,7,30,182.0,79.0,154.0,135.0,0,0,81,1.3037974683544302,103.0,3.799999999999983
2018-08-05,197,8,31,150.0,182.0,125.0,134.0,0,0,82,-0.17582417582417587,-32.0,17.800000000000004
2018-08-12,193,8,32,197.0,150.0,79.0,152.0,0,0,83,0.31333333333333324,47.0,32.20000000000001
2018-08-19,188,8,33,193.0,197.0,182.0,180.5,0,0,84,-0.02030456852791873,-4.0,8.000000000000012
